year,zooplankton_mean_size,eastern_baltic_cod
1984,24.462624510624856,662.0918590486466
1985,11.723442586995272,548.5772237409768
1986,13.712656009450315,402.05801391907613
1987,15.148928940978157,322.62615893654356
1988,24.911704679904492,301.28754981612985
1989,11.868902040449994,241.89059104539913
1990,12.662572425950641,217.48045444685832
1991,13.414913215262219,152.61595528487612
1992,13.806874699242824,93.50390057062198
1993,13.979241466619374,113.47738636742362
1994,13.765998351505226,193.01394107389106
1995,10.819549041982,238.58046900407433
1996,10.809996361581712,164.81850676385966
1997,7.574615331198146,136.39756535612236
1998,11.59878316747117,109.74745870224469
1999,9.715675836619395,90.85318544446378
2000,11.059862210506004,116.70797688768252
2001,9.532962328314627,104.93026467312696
2002,11.078293283705312,83.6530659677135
2003,20.135490294786898,80.93490005786651
2004,15.69014895101581,80.02280438589563
2005,13.836007854165228,66.01820958149504
2006,12.164980147152129,84.0648177666496
2007,13.450807658987124,102.3359263213952
2008,11.430215598407205,120.2204512800737
2009,11.976191158772622,185.27824224008947
2010,12.039201614279323,209.5524705431379
2011,16.31474948282469,212.76594668544593
2012,13.203856551462696,179.83313074450666
2013,16.361261653374044,115.29419889764827
2014,12.151089298905207,103.23747540896308
2015,13.598780562521737,111.03888469556149
2016,14.313868079753544,135.86155079050704
