year,bot_temp,bot_sal,fishing_cod
1970,10.639256497085617,36.162945485482084,0.6275565398972798
1971,10.853371622949417,36.23149615875487,0.7248521274782533
1972,10.73224972180596,36.16864665083761,0.7949049505365543
1973,11.19423365355787,36.22408409191968,0.7666892301380721
1974,11.340036986021174,36.2482669028847,0.7248521274782533
1975,11.014463728268117,36.23746368212954,0.7861483476542668
1976,11.237482891280521,36.14860572081411,0.8445257002028509
1977,11.292830863364138,36.204510255793274,0.7958779064123641
1978,11.17217162451129,36.24755066264011,0.8999841851240059
1979,11.795942065507097,36.310765929151884,0.8124181563011296
1980,11.622419330906599,36.30125475729234,0.8980382733723864
1981,11.86698544491386,36.19070090240656,0.9058219203788643
1982,11.699282423682174,36.29906924502459,1.0264684489792715
1983,11.184012582579921,36.22262971623886,1.0070093314630768
1984,10.964589991279746,36.188480173874545,0.9379294642805855
1985,11.582403489837876,36.31926776545188,0.8951194057449572
1986,11.31268438442269,36.3710697272261,0.9719829199339264
1987,11.590080226236923,36.26581790241377,0.9457131112870635
1988,11.216152782318083,36.26734786989568,0.9690640523064972
1989,11.278368404830346,36.1878849862345,0.99533386095336
1990,11.17630498324203,36.12285546363502,0.9233351261434395
1991,11.690723583015078,36.01633256533033,0.9097137438821032
1992,11.496819817517359,36.023713147916055,0.8824709793594306
1993,11.000595343490819,36.06791827111972,0.9505778906661121
1994,10.679277969115832,36.05023698938578,0.9204162585160103
1995,11.332991499191321,36.04242814488693,0.851336391333519
1996,11.20776510043452,36.049960672279,0.8795521117320014
1997,11.125711501781877,36.04742649679329,0.9019300968756254
1998,11.365829956452458,36.04058465644537,1.0926294485343335
1999,11.286838228486635,36.01119690065296,1.1140344778021478
2000,11.445700895133328,36.00011980498767,1.1325206394425327
2001,10.594138709695999,35.938482356096515,0.8445257002028509
2002,11.655565317225316,35.90046970266637,1.0332791401099397
2003,11.375889475194045,35.823271443643236,0.7316628186089216
2004,11.239223690338495,35.77944256673571,0.7793376565235987
2005,10.51963844204243,35.863367777141384,0.7978238181639835
2006,11.88223999284387,35.957956559057386,0.7102577893411073
2007,11.439586507791905,35.855421366136824,0.6479886132892843
2008,11.662627135795296,35.864311712577624,0.6246376722698506
2009,11.849919281509841,35.91617193818622,0.6080974223810851
2010,10.210855075595576,35.83577522618836,0.5098288789243017
2011,11.601293712701642,35.720706193731,0.3930741738271334
2012,11.748012313063642,35.72426967581292,0.3619395858012218
2013,11.808639917824241,35.748837973246694,0.35804776229798285
2014,11.829279448402044,35.81280023476522,0.3638854975528413
2015,11.665410203135364,35.83977342984641,0.3697232328076997
2016,12.03431478670913,35.85960307285663,0.3658314093044608
2017,11.666036698836074,35.824991987042154,0.4096144237158989
2018,11.493242482077171,35.731473680180194,0.5205313935582089
2019,11.512871484404725,35.78162079470263,0.47674837914677065
2020,11.543949358610178,35.805774003284014,0.35123707116731473
